fips,state_abbreviation,state,region
0,XX,Unknown,Unknown
1,AL,Alabama,Southeast
2,AK,Alaska,Far West
4,AZ,Arizona,Southwest
5,AR,Arkansas,Southeast
6,CA,California,Far West
8,CO,Colorado,Rocky Mountains
9,CT,Connecticut,New England
10,DE,Delaware,Mid East
11,DC,District of Columbia,Mid East
12,FL,Florida,Southeast
13,GA,Georgia,Southeast
15,HI,Hawaii,Far West
16,ID,Idaho,Rocky Mountains
17,IL,Illinois,Great Lakes
18,IN,Indiana,Great Lakes
19,IA,Iowa,Plains
20,KS,Kansas,Plains
21,KY,Kentucky,Southeast
22,LA,Louisiana,Southeast
23,ME,Maine,New England
24,MD,Maryland,Mid East
25,MA,Massachusetts,New England
26,MI,Michigan,Great Lakes
27,MN,Minnesota,Plains
28,MS,Mississippi,Southeast
29,MO,Missouri,Plains
30,MT,Montana,Rocky Mountains
31,NE,Nebraska,Plains
32,NV,Nevada,Far West
33,NH,New Hampshire,New England
34,NJ,New Jersey,Mid East
35,NM,New Mexico,Southwest
36,NY,New York,Mid East
37,NC,North Carolina,Southeast
38,ND,North Dakota,Plains
39,OH,Ohio,Great Lakes
40,OK,Oklahoma,Southwest
41,OR,Oregon,Far West
42,PA,Pennsylvania,Mid East
44,RI,Rhode Island,New England
45,SC,South Carolina,Southeast
46,SD,South Dakota,Plains
47,TN,Tennessee,Southeast
48,TX,Texas,Southwest
49,UT,Utah,Rocky Mountains
50,VT,Vermont,New England
51,VA,Virginia,Southeast
53,WA,Washington,Far West
54,WV,West Virginia,Southeast
55,WI,Wisconsin,Great Lakes
56,WY,Wyoming,Rocky Mountains
60,AS,American Samoa,Outlying Areas
64,FM,Federated States of Micronesia,Outlying Areas
66,GU,Guam,Outlying Areas
68,MH,Marshall Islands,Outlying Areas
69,MP,Northern Marianas,Outlying Areas
70,PW,Palau,Outlying Areas
72,PR,Puerto Rico,Outlying Areas
78,VI,Virgin Islands,Outlying Areas
-1,XF,Foreign State,Unknown